epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0063,1.54808,3.18866,1.13864,0.77787,0.6707,0.76612,0.4422,1.46792,1.27094,1.08352,0.000415704,0.000415704,0.000415704
2,150.373,1.47888,1.48172,1.10419,0.85503,0.743,0.86439,0.49179,1.40561,0.98525,1.10366,0.000749966,0.000749966,0.000749966
3,221.995,1.44052,1.0475,1.08736,0.85705,0.82473,0.88102,0.53007,1.37319,0.91689,1.0608,0.00100173,0.00100173,0.00100173
4,295.255,1.37857,0.90599,1.05863,0.82962,0.82574,0.89582,0.53825,1.33113,0.8945,1.03511,0.00087875,0.00087875,0.00087875
5,368.715,1.31172,0.80065,1.02909,0.92418,0.89961,0.93384,0.58319,1.29309,0.77741,1.01189,0.000755,0.000755,0.000755
6,442.133,1.26674,0.7515,1.0036,0.93347,0.90377,0.9405,0.60464,1.21996,0.69611,0.98276,0.00063125,0.00063125,0.00063125
7,515.596,1.23813,0.69985,0.9883,0.95471,0.9432,0.9674,0.63937,1.18138,0.65226,0.97324,0.0005075,0.0005075,0.0005075
8,588.962,1.18791,0.65127,0.97198,0.94855,0.94097,0.96424,0.64779,1.15042,0.63745,0.96599,0.00038375,0.00038375,0.00038375
9,662.534,1.14407,0.61321,0.95905,0.95895,0.96264,0.97898,0.66475,1.13271,0.59165,0.94909,0.00026,0.00026,0.00026
10,735.888,1.11367,0.5833,0.94122,0.96864,0.96262,0.98005,0.67908,1.10519,0.57027,0.9445,0.00013625,0.00013625,0.00013625
